"id","key","zh","en"
"-1","test","成功","success"
"-2","test_args","成功%{name}","success%{name}"
"0","Ok","成功","success"
"101001","DbCreate","数据库创建失败","Database creation failure"
"101002","DbInit","数据库初始化失败","Description Database initialization failed"
"101003","DbUp","数据库迁移失败","Database migration failure"
"102001","TokenExpire","token过期","token expiration"
"102002","TokenInvalid","token无效","Invalid token"
"102003","TokenGenerate","token创建失败","token creation failure"
"102004","ParamError","参数校验失败","Parameter check failure"
"203001","TagParentNotExist","父标签不存在","The parent tag does not exist"
"203002","TagQuery","标签查询失败","Tag query failure"
"203003","TagNameExist","标签已存在","Tag already exists"
"203004","TagNotExist","标签不存在","Tag does not exist"
